"osm_id","name","gid"
-62362,"Westerwaldkreis","07143"
-62361,"Landkreis Trier-Saarburg","07235"
-62360,"Südwestpfalz","07340"
-62359,"Börde","15083"
-62358,"Kreis Minden-Lübbecke","05770"
-62357,"Landkreis Altenkirchen","07132"
-62356,"Landkreis Erding","09177"
-62355,"Landkreis Aurich","03452"
-62354,"Landkreis Freudenstadt","08237"
-62353,"Potsdam-Mittelmark","12069"
-62352,"Speyer","07318000"
-62350,"Mittelsachsen","14522"
-62349,"Kaufbeuren","09762000"
-62348,"Landkreis Neuwied","07138"
-62347,"Ludwigshafen am Rhein","07314000"
-62346,"Landkreis St. Wendel","10046"
-62345,"Görlitz","14626"
-62344,"Landkreis Rottweil","08325"
-62343,"Rheinisch-Bergischer Kreis","05378"
-62340,"Baden-Baden","08211000"
-62339,"Saale-Orla-Kreis","16075"
-58745,"Kreis Wesel","05170"
-27028,"Dithmarschen","01051"
-27027,"Lübeck","01003000"
-27026,"Plön","01057"
-27025,"Ostholstein","01055"
-27021,"Kiel","01002000"
-27020,"Flensburg","01001000"
-27019,"Nordfriesland","01054"
-27017,"Rendsburg-Eckernförde","01058"
-27016,"Steinburg","01061"
-27014,"Schleswig-Flensburg","01059"
